event_player_1
ARTTURI.LEHKONEN
MORGAN.RIELLY
BRENDAN.GALLAGHER
PHILLIP.DANAULT
MIKE.REILLY
MAX.DOMI
ZACH.HYMAN
TYLER.ENNIS
PATRICK.MARLEAU
JOHN.TAVARES
AUSTON.MATTHEWS
KASPERI.KAPANEN
CHARLES.HUDON
JORDIE.BENN
NIKITA.ZAITSEV
TRAVIS.DERMOTT
JOEL.ARMIA
JONATHAN.DROUIN
PAR.LINDHOLM
NAZEM.KADRI
ANDREW.SHAW
TOMAS.TATAR
JESPERI.KOTKANIEMI
JOSH.LEIVO
PAUL.BYRON
JEFF.PETRY
RON.HAINSEY
CONNOR.BROWN
JAKUB.VRANA
T.J..OSHIE
ANDRE.BURAKOVSKY
EVGENY.KUZNETSOV
JOAKIM.NORDSTROM
ALEX.OVECHKIN
BRETT.CONNOLLY
LARS.ELLER
DAVID.PASTRNAK
CHRISTIAN.DJOOS
DAVID.BACKES
PATRICE.BERGERON
MATT.NISKANEN
DMITRY.ORLOV
ZDENO.CHARA
SEAN.KURALY
JOHN.CARLSON
NIC.DOWD
CHANDLER.STEPHENSON
JOHN.MOORE
MATT.GRZELCYK
JAKE.DEBRUSK
RYAN.DONATO
DEVANTE.SMITH-PELLY
NATHAN.WALKER
BRAD.MARCHAND
BRANDON.CARLO
MADISON.BOWEY
NOEL.ACCIARI
KEVAN.MILLER
MIKAEL.BACKLUND
JOHNNY.GAUDREAU
NOAH.HANIFIN
MARKUS.GRANLUND
ELIAS.LINDHOLM
BRANDON.SUTTER
DEREK.RYAN
SEAN.MONAHAN
MARK.GIORDANO
ELIAS.PETTERSSON
BRENDAN.LEIPSIC
ERIK.GUDBRANSON
MATTHEW.TKACHUK
NIKOLAY.GOLDOBIN
DILLON.DUBE
BO.HORVAT
DERRICK.POULIOT
TYLER.MOTTE
TROY.STECHER
SAM.BENNETT
ALEX.EDLER
JAY.BEAGLE
MARK.JANKOWSKI
AUSTIN.CZARNIK
JAKE.VIRTANEN
MICHAEL.FROLIK
JUUSO.VALIMAKI
JAMES.NEAL
TJ.BRODIE
MAX.COMTOIS
BRENT.BURNS
TIMO.MEIER
JOE.THORNTON
MELKER.KARLSSON
HAMPUS.LINDHOLM
JOONAS.DONSKOI
EVANDER.KANE
LUKE.SCHENN
JOE.PAVELSKI
JUSTIN.BRAUN
LOGAN.COUTURE
CARTER.ROWNEY
TOMAS.HERTL
BRANDON.MONTOUR
MARC-EDOUARD.VLASIC
ANTTI.SUOMELA
JAKOB.SILFVERBERG
KEVIN.LABANC
ERIK.KARLSSON
KIEFER.SHERWOOD
RICKARD.RAKELL
RYAN.GETZLAF
BRENDEN.DILLON
MARCUS.SORENSEN
ADAM.HENRIQUE
JOSH.MANSON
CHARLIE.MCAVOY
JACK.EICHEL
RASMUS.RISTOLAINEN
DAVID.KREJCI
EVAN.RODRIGUES
MARCO.SCANDELLA
CASEY.NELSON
CONOR.SHEARY
JEFF.SKINNER
KYLE.OKPOSO
SAM.REINHART
CASEY.MITTELSTADT
DANTON.HEINEN
PATRIK.BERGLUND
NATHAN.BEAULIEU
JAKE.MCCABE
VLADIMIR.SOBOTKA
JASON.POMINVILLE
MATTIAS.EKHOLM
YANNICK.WEBER
ADAM.MCQUAID
ROMAN.JOSI
PAVEL.BUCHNEVICH
JIMMY.VESEY
CRAIG.SMITH
MATS.ZUCCARELLO
RYAN.JOHANSEN
BRADY.SKJEI
RYAN.HARTMAN
MARC.STAAL
KEVIN.FIALA
KYLE.TURRIS
RYAN.SPOONER
CALLE.JARNKROK
VINNI.LETTIERI
FILIP.FORSBERG
NEAL.PIONK
P.K..SUBBAN
JESPER.FAST
ZAC.RINALDO
KEVIN.SHATTENKIRK
NICK.BONINO
MIKA.ZIBANEJAD
CHRIS.KREIDER
KEVIN.HAYES
BRETT.HOWDEN
